info1,info2,info_draft,info_team,name,sc_price
"
Age: 18yr 10mth    Games: 0     Born: April 17, 2000    
","
Height: 198cm    
Weight: 95kg    
Position:
            Forward,
                Ruck
      ","
Last Drafted: Round 2, Pick #35 ",,Bailey Williams,"
Supercoach Price: $117,300
  "
"
Age: 22yr 11mth    Games: 0     Born: March 7, 1996    
","
Height: 181cm    
Weight: 83kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #41 ",,Thomas Wilkinson,"
Supercoach Price: $102,400
  "
"
Age: 22yr 11mth    Games: 0     Born: March 10, 1996    
","
Height: 191cm    
Weight: 87kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #3 ",,Callum Wilkie,"
Supercoach Price: $124,900
  "
"
Age: 22yr 4mth    Games: 0     Born: October 16, 1996    
","
Height: 180cm    
Weight: 80kg    
Position:
            Defender
      ","
Last Drafted: Round 4, Pick #47 ",,Harrison Wigg,"
Supercoach Price: $102,400
  "
"
Age: 19yr 5mth    Games: 0     Born: September 14, 1999    
","
Height: 180cm    
Weight: 74kg    
Position:
            Midfield,
                Forward
      ",,,Sam Wicks,"
Supercoach Price: $102,400
  "
"
Age: 24yr 7mth    Games: 114     Born: July 18, 1994    
","
Height: 187cm    
Weight: 81kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #1 ",,Lachie Whitfield,"
Supercoach Price: $542,100
  "
"
Age: 22yr 1mth    Games: 10     Born: January 13, 1997    
","
Height: 188cm    
Weight: 85kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #40 ",,Brandon White,"
Supercoach Price: $261,400
  "
"
Age: 32yr 5mth    Games: 248     Born: October 1, 1986    
","
Height: 200cm    
Weight: 93kg    
Position:
            Forward,
                Ruck
      ","
Last Drafted: Round 5, Pick #71 ",,Justin Westhoff,"
Supercoach Price: $549,500
  "
"
Age: 18yr 7mth    Games: 0     Born: July 12, 2000    
","
Height: 181cm    
Weight: 82kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #26 ",,Rhylee West,"
Supercoach Price: $117,300
  "
"
Age: 34yr 1mth    Games: 257     Born: February 3, 1985    
","
Height: 181cm    
Weight: 84kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #2 ",,Daniel Wells,"
Supercoach Price: $302,900
  "
"
Age: 27yr     Games: 121     Born: February 13, 1992    
","
Height: 182cm    
Weight: 85kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #20 ",,Maverick Weller,"
Supercoach Price: $334,500
  "
"
Age: 23yr     Games: 69     Born: February 23, 1996    
","
Height: 181cm    
Weight: 82kg    
Position:
            Defender,
                Midfield
      ","
Last Drafted: Round 1, Pick #13 ",,Lachlan Weller,"
Supercoach Price: $403,900
  "
"
Age: 21yr 3mth    Games: 56     Born: November 23, 1997    
","
Height: 195cm    
Weight: 95kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #1 ",,Jacob Weitering,"
Supercoach Price: $354,400
  "
